Module,Use_Case,Procedure,Method,Docstring,Arguments,Code writing instructions,Testing Considerations
Dictionary.cls,Cross-platform dictionary operations,N/A,Class_Initialize,Initialize dictionary with default capacity,None,Set capacity to 16 and itemCount to 0; ReDim keys and values arrays to size 0 To capacity-1,test_Add: Size=0 initially; test_Size: Size=0 on new dict
Dictionary.cls,Cross-platform dictionary operations,N/A,Add,Add or update key-value pair,key As String; value As Variant,Call FindIndex to check if key exists. If index>=0: update existing value using IsObject check for Set vs direct assignment. If new: check if itemCount>=capacity and call ExpandCapacity if needed; assign key to keys(itemCount) and value to values(itemCount) with IsObject check; increment itemCount,test_Add: Add first item (Size=1; Item retrieves value); add second item (Size=2); add numeric value (Item=123). test_UpdateValue: Add updates existing key; Size remains 1; can update string to numeric. test_ObjectValues: Add Range/Worksheet objects; retrieve via Item. test_ExpandCapacity: Add 20 items forces expansion beyond capacity 16
Dictionary.cls,Cross-platform dictionary operations,N/A,Remove,Remove key-value pair by key,key As String,Call FindIndex to get index. If index>=0: loop from index to itemCount-2 shifting keys and values left (keys(i)=keys(i+1)) with IsObject check for values; decrement itemCount,test_Remove: Remove middle item (key2); Size=2; key2 not Exists; key1 and key3 still Exist. Remove first item (key1); Size=1. Remove last item (key3); Size=0. test_Size: Size decrements after Remove
Dictionary.cls,Cross-platform dictionary operations,N/A,Item,Get value by key,key As String; Returns Variant,Call FindIndex to get index. If index>=0: return values(index) using IsObject check for Set vs direct return. Else: return Empty,test_Item: Retrieve string values ("John" "Boston"); numeric value (30); non-existent key returns Empty. test_ObjectValues: Retrieve Range.Address; Worksheet.Name. test_NestedHelperAccess: Access Item from nested helper function with tst argument
Dictionary.cls,Cross-platform dictionary operations,N/A,Exists,Check if key exists,key As String; Returns Boolean,Return result of (FindIndex(key) >= 0),test_Exists: Non-existent key returns False; after Add returns True; multiple keys all return True; previously added key still True after adding another. test_Remove: After Remove; removed key returns False; remaining keys return True. test_ExpandCapacity: Keys exist after capacity expansion
Dictionary.cls,Cross-platform dictionary operations,N/A,Size,Get number of items,None; Property Get returns Long,Return itemCount,test_Size: Size=0 initially; Size=1 after first Add; Size=3 after three Adds; Size=2 after Remove; Size=0 after Clear. test_Add: Check Size after each Add. test_Remove: Check Size decrements. test_UpdateValue: Size=1 remains after updating existing key
Dictionary.cls,Cross-platform dictionary operations,N/A,GetKeys,Get all keys as array,None; Returns String(),If itemCount=0 return empty array. Else: ReDim result(0 To itemCount-1); loop i from 0 to itemCount-1 setting result(i)=keys(i); return result,test_GetKeys: UBound(keys)=2 for 3 items; keys(0)="key1"; keys(1)="key2"; keys(2)="key3" in correct order. test_NestedHelperAccess: Call GetKeys from nested helper; verify UBound=3; verify all 4 keys correct
Dictionary.cls,Cross-platform dictionary operations,N/A,Clear,Clear all items,None,Set itemCount=0 and capacity=16; ReDim keys and values arrays to 0 To capacity-1,test_Clear: After adding 3 items; Clear sets Size=0; all previously added keys return Exists=False; can Add new item after Clear (Size=1; Item retrieves new value). test_Size: Size=0 after Clear
Dictionary.cls,Cross-platform dictionary operations,N/A,FindIndex,Find index of key (returns -1 if not found),key As String; Returns Long,Private function. Loop i from 0 to itemCount-1. If keys(i)=key return i and exit. If not found return -1,Not directly tested (private); indirectly tested via all Add/Item/Exists/Remove operations
Dictionary.cls,Cross-platform dictionary operations,N/A,ExpandCapacity,Expand capacity when needed,None,Private sub. Set capacity=capacity*2; ReDim Preserve keys and values arrays to 0 To capacity-1,test_ExpandCapacity: Add 20 items (>16 initial capacity); Size=20; all items accessible (key1="value1"; key10="value10"; key20="value20"); all keys Exist (key1; key16; key17; key20)
Dictionary.cls,Parse JSON-like text into Dictionary,ParseStringToDictProcedure,ParseStringToDictProcedure,Parse JSON-like string and add key value pairs to Dictionary,jsonStr As String; Returns Boolean,Validate input string and call methods in sequence; ValidateAndStripBraces then SplitIntoPairs then ParsePair then AddParsedValue; return True on success and False on validation or parse failure,test_ParseStringToDictProcedure integration test; verify mixed types and whitespace tolerance; verify existing keys preserved except overwritten keys; verify malformed input returns False
Dictionary.cls,Parse JSON-like text into Dictionary,ParseStringToDictProcedure,ValidateAndStripBraces,Validate outer braces and return inner string,jsonStr As String; innerStr As String ByRef; Returns Boolean,Trim input; validate first char is { and last char is }; set innerStr using Mid without braces; fail on short or malformed input,Unit tests for valid braces and invalid braces; test empty string and short input; test trimmed input with spaces
Dictionary.cls,Parse JSON-like text into Dictionary,ParseStringToDictProcedure,SplitIntoPairs,Split inner string into key:value pair tokens while respecting quoted strings,innerStr As String; pairs As Variant ByRef; Returns Boolean,Loop characters with inQuotes flag; split on comma only when Not inQuotes; append final token; allow empty inner string for {} case,Unit tests for one pair and many pairs; test comma inside quoted string; test {} produces zero pairs
Dictionary.cls,Parse JSON-like text into Dictionary,ParseStringToDictProcedure,ParsePair,Parse one key:value token into key and typed value,pairStr As String; key As String ByRef; valParsed As Variant ByRef; Returns Boolean,Find first colon; split key and value parts; trim key and remove optional surrounding quotes; call DetectValueType for value parsing; fail when colon missing,Unit tests for quoted and unquoted keys; test missing colon returns False; test value parsing delegated correctly
Dictionary.cls,Parse JSON-like text into Dictionary,ParseStringToDictProcedure,DetectValueType,Detect String Boolean Double or Empty from value text,valueStr As String; valParsed As Variant ByRef; Returns Boolean,Trim value text; quoted text maps to String; True or False maps to Boolean case insensitive; numeric maps to Double; empty maps to Empty; otherwise fail,Unit tests for quoted string; Boolean in mixed case; integer and decimal numbers; empty value; invalid unquoted text returns False
Dictionary.cls,Parse JSON-like text into Dictionary,ParseStringToDictProcedure,AddParsedValue,Add parsed key and value to Dictionary using Add method,key As String; valParsed As Variant; Returns Boolean,Call Add on current Dictionary instance; rely on Add behavior for new keys and updates; surface failure through Boolean return,Unit tests for add new key and overwrite existing key; verify object and scalar values are handled
ErrorHandling.cls,Error state and reporting orchestration,N/A,Init,Initialize error handling state and workbook context,wkbkE As Workbook Optional; IsHandle As Boolean Optional,Set defaults for IsHandle; code fields; ErrMsg; IsUserFacing; IsNewErr; IsShowMsgs; set wkbkE to ThisWorkbook unless argument is provided,test_Init sets defaults correctly; test wkbkE override path; test IsHandle toggle behavior
ErrorHandling.cls,Error state and reporting orchestration,N/A,RecordErr,Record root or nested error and trigger reporting gate,Locn As String; CallingFunction As Boolean ByRef Optional,Detect driver call with IsMissing; set CallingFunction False for Boolean caller; set Locn; for root path resolve base plus local code then load and validate ErrorMeta and append user or developer message; for nested path append Called by only when non user-facing; report only when IsShowMsgs And IsDriverCall Or IsTesting,driver tests verify reporting gate; Boolean caller tests verify return False; root path tests verify developer and user-facing branches; nested tests verify Called by behavior only for non user-facing
ErrorHandling.cls,Error state and reporting orchestration,N/A,AppendErrMsg,Compatibility wrapper for message append behavior,sMsgSuffix As String; Returns Boolean,Prefer RecordErr for orchestration; when IsNewErr call shared root-message helper; when nested and non user-facing append suffix line and return True,smoke tests for compatibility behavior with root and nested paths
ErrorHandling.cls,Error state and reporting orchestration,N/A,AppendErrMsg_prev,Legacy preserved version of AppendErrMsg for comparison fallback,sMsgSuffix As String; Returns Boolean,Keep behavior aligned with current implementation until removal decision; no new call sites added,smoke test can compare output shape against AppendErrMsg for representative cases before deprecation
ErrorHandling.cls,Error metadata lookup,N/A,aryErrLookup,Lookup Errors_ metadata row by composite report code and return metadata array,None; Returns Variant Array,Call SetTblELocations then rngMultiKeyBasic on code column; default to iErrNotFound row metadata when missing; return code; routine; message; IsUserFacing entries,tests for found row mapping; missing row fallback to Msg Not Found; base error marker behavior consumed by AppendErrMsg
ErrorHandling.cls,Error reporting output,N/A,ReportMsg,Accumulate and optionally show current ErrMsg,None; Returns Long,Exit when IsHandle False; call UpdateMsgsAccum; if IsShowMsgs then MsgBox with Execution Error title,tests verify Msgs_accum update always when handle enabled; MsgBox path gated by IsShowMsgs
ErrorHandling.cls,Warning and info reporting,N/A,ReportWarningMsg,Lookup and report warning or information message by local code,iCode As Integer; Locn As String; param Optional,Set Locn and iCodeLocal; call GetBaseErrCode and exit when missing; build message from aryErrLookup index 2 plus ErrParam and optional param; call UpdateMsgsAccum; gate MsgBox by IsShowMsgs; re-init errs at end,tests for warning message resolution and accumulation; missing base code exits quietly; re-init resets IsNewErr and fields
ErrorHandling.cls,Message accumulation utilities,N/A,UpdateMsgsAccum,Append message to accumulated warnings and errors text,msg As String,Append msg and vbCrLf to Msgs_accum,tests for append order and line break behavior across multiple calls
ErrorHandling.cls,Comment message utilities,N/A,LookupCommentMsg,Lookup a comment message and add it to a range,rng As Range; Locn As String; IsReinitialize As Boolean Optional,Set Locn; call GetBaseErrCode; if base code found add comment from aryErrLookup index 2; optionally re-init using wkbkE and IsHandle,tests for comment added on valid code; no comment when base code missing; IsReinitialize False retains state
ErrorHandling.cls,Error metadata lookup,N/A,GetBaseErrCode,Resolve base error code for current routine location,None; Returns Boolean,Locate sErrBase row using rngMultiKeyBasic against function and message columns; set iCodeBase to iErrNotFound default then overwrite when row found; return True only when found,tests for known Locn returning base code; unknown Locn returns False and iErrNotFound
ErrorHandling.cls,Error metadata lookup,N/A,SetTblELocations,Set Errors_ lookup columns and data rows range,colrngFunc ByRef; colrngMsg ByRef; colrngCode ByRef; colrngIMsg ByRef; rngRows ByRef,Use wkbkE.shtErrors columns 1;3;4;6 and last used code row to build rngRows from row 2 to last row,tests for correct column assignments; rngRows extent matches populated Errors_ table
ErrorHandling.cls,Error state helper,N/A,IsFail,Set local error attributes when a Boolean failure condition is true,IsError As Boolean; iCode As Integer; ErrParam Optional; Returns Boolean,Return False when IsError False; when true set IsFail True; set iCodeLocal and optional ErrParam for downstream RecordErr,unit tests for true and false branches; ErrParam set only when provided
ErrorHandling.cls,User prompt utility,N/A,ShowMessage,Lookup message and show MsgBox with configured title and text,Locn As String; iCode As Integer; vbType As Integer; param Optional; Returns Long,Default to missing base code message and title; on lookup success set iCodeLocal and message; split title and text via setMsgTitleAndText; append optional param; convert vbCrLf concat markers; return MsgBox response,tests for title split logic; default fallback path; optional param append; return value passthrough
ErrorHandling.cls,User prompt utility,N/A,setMsgTitleAndText,Split pipe-delimited message into title and text,sMsg As String ByRef; sTitle As String ByRef,Split on |; when only one segment set title empty and keep message; when two segments assign title first and text second,tests for one-part and two-part message strings
ErrorHandling.cls,Warnings file lifecycle,N/A,ResetWarningsAndErrors,Reset warnings and errors setting and delete prior output file,wkbk As Workbook; sSelf As String; IsVal As Boolean Optional,Compute local path from setting; delete existing warnings file when present; initialize settings value with ParseNow and caller or Validation suffix,tests for file deletion path when file exists; settings reset format for normal and validation modes
ErrorHandling.cls,Warnings file lifecycle,N/A,ParseNow,Format current timestamp into fixed-length token,None; Returns String,Build YYYYMMDD_HHMM_SS string with zero padding and underscore separators,length test equals 16; format tests for separators and zero padding
ErrorHandling.cls,Warnings file lifecycle,N/A,WriteErrorsToFile,Write accumulated settings text to warnings and errors file and clear setting,wkbk As Workbook; IsVal As Boolean Optional,Read sSettingErrs and local path setting; fallback to ThisWorkbook.Path when missing; choose suffix _Val or datetime token; call WriteFile then DeleteSetting,tests for suffix selection in val and non-val runs; output path fallback; setting deletion after write
ErrorMeta.cls,Typed error metadata for AppendErrMsg refactor,N/A,Class_Initialize,Initialize typed metadata defaults for lookup and formatting,None,Set IsFound False; Code to iErrNotFound; Routine empty; Message empty; IsUserFacing False; IsBaseMessage False,test defaults after new instance
ErrorMeta.cls,Typed error metadata for AppendErrMsg refactor,RecordErr,LoadFromLookup,Load one Errors_ metadata row into typed fields using current error context,errsObj As Object; Returns Boolean,Resolve report code using base plus local context; directly query Errors_ table columns Code Routine Message and iMsgDevUser; on not found set IsFound False and Message Msg Not Found then return True; on found map typed fields and set IsFound True; return False on worksheet or lookup failure,tests for found mapping; explicit not found state; missing sheet failure path
ErrorMeta.cls,Typed error metadata for AppendErrMsg refactor,AppendErrMsg,Validate,Validate loaded metadata and normalize malformed-row behavior,None; Returns Boolean,If IsFound False return True; validate required typed fields and boolean parseability; on malformed set Message to Malformed Errors_ Row for Locn and set malformed flag or fallback state without changing external wording contract,tests for malformed row cases including blank message and non-boolean user-facing field
ErrorMeta.cls,Typed error metadata for AppendErrMsg refactor,AppendErrMsg,ToUserMessage,Build concise user-facing message text,errParam As String; Returns String,Start from Message; append errParam when non-empty; no stack trace prefix,tests for concise output and param append
ErrorMeta.cls,Typed error metadata for AppendErrMsg refactor,AppendErrMsg,ToDeveloperMessage,Build developer-facing message text preserving legacy wording and line breaks,errCodeReport As Long; errParam As String; Returns String,Preserve existing Error code prefix and routine plus message lines; append errParam in legacy location; preserve vbCrLf behavior,tests compare output against representative legacy AppendErrMsg developer cases
ErrorMeta.cls,Typed error metadata for AppendErrMsg refactor,N/A,Direct public attribute surface,Expose typed fields Code; Routine; Message; IsUserFacing; IsFound; IsBaseMessage and IsMalformed for integration,None,Use direct class attributes instead of Property Get and Let; keep values synchronized during LoadFromLookup and Validate without retaining raw lookup arrays,tests for default initialization and value updates across load and validate flows
tests_ErrorHandling.bas,RecordErr orchestration behavior,RecordErr,test_RecordErr_SetsCallingFunctionFalse,Verify RecordErr sets Boolean caller flag False and appends root message,procs,Pre-initialize errs with SetupErrorsFixture; set iCodeLocal for developer row; call RecordErr with Boolean ByRef caller flag,assert caller flag False and developer message prefix present
tests_ErrorHandling.bas,RecordErr orchestration behavior,RecordErr,test_RecordErr_RootPaths,Verify RecordErr handles developer and user-facing root paths,procs,Use mock Errors_ rows where Base plus iCodeLocal 2 maps to developer and plus 1 maps to user-facing; assert IsUserFacing and ErrMsg content for each branch,assert developer format includes code and routine and detail; assert user-facing output is concise
tests_ErrorHandling.bas,RecordErr orchestration behavior,RecordErr,test_RecordErr_NestedTrace,Verify nested Called by append behavior in RecordErr,procs,Create root developer message then call RecordErr again with caller routine; verify Called by appended only for non user-facing path and suppressed for user-facing path,assert nested trace present for developer and absent for user-facing
